"_id","_index","_score","_type","书名","作者","出版日期","出版社","售价","译者","链接"
KdJKc3EBZhrcTXFrBuPa,"douban_book_top250",0,"_doc","红楼梦","[清] 曹雪芹 著","1996-12","人民文学出版社","59.70元","-","https://book.douban.com/subject/1007305/"
KtJKc3EBZhrcTXFrBuPw,"douban_book_top250",0,"_doc","活着","余华","2012-8-1","作家出版社","20.00元","-","https://book.douban.com/subject/4913064/"
"K9JKc3EBZhrcTXFrB-MO","douban_book_top250",0,"_doc","百年孤独","[哥伦比亚] 加西亚·马尔克斯","2011-6","南海出版公司","39.50元","范晔","https://book.douban.com/subject/6082808/"
"LNJKc3EBZhrcTXFrB-Ml","douban_book_top250",0,"_doc",1984,"[英] 乔治·奥威尔","2010-4-1","北京十月文艺出版社","28.00","刘绍铭","https://book.douban.com/subject/4820710/"
"LdJKc3EBZhrcTXFrB-M6","douban_book_top250",0,"_doc","飘","[美国] 玛格丽特·米切尔","2000-9","译林出版社","40.00元","李美华","https://book.douban.com/subject/1068920/"
"LtJKc3EBZhrcTXFrB-NP","douban_book_top250",0,"_doc","三体全集:地球往事三部曲","刘慈欣","2012-1-1","重庆出版社","168.00元","-","https://book.douban.com/subject/6518605/"
"L9JKc3EBZhrcTXFrB-Nq","douban_book_top250",0,"_doc","三国演义（全二册）","[明] 罗贯中","1998-05","人民文学出版社","39.50元","-","https://book.douban.com/subject/1019568/"
"MNJKc3EBZhrcTXFrB-OC","douban_book_top250",0,"_doc","白夜行","[日] 东野圭吾","2013-1-1","南海出版公司","39.50元","刘姿君","https://book.douban.com/subject/10554308/"
"MdJKc3EBZhrcTXFrB-OZ","douban_book_top250",0,"_doc","福尔摩斯探案全集（上中下）","[英] 阿·柯南道尔","1981-8","群众出版社","53.00元/68.00元","丁钟华 等","https://book.douban.com/subject/1040211/"
"MtJKc3EBZhrcTXFrB-Ot","douban_book_top250",0,"_doc","动物农场","[英] 乔治·奥威尔","2007-3","上海译文出版社","10.00元","荣如德","https://book.douban.com/subject/2035179/"
"M9JKc3EBZhrcTXFrB-PG","douban_book_top250",0,"_doc","小王子","[法] 圣埃克苏佩里","2003-8","人民文学出版社","22.00元","马振聘","https://book.douban.com/subject/1084336/"
"NNJKc3EBZhrcTXFrB-Pb","douban_book_top250",0,"_doc","房思琪的初恋乐园","林奕含","2018-1","北京联合出版公司","45.00元","-","https://book.douban.com/subject/27614904/"
"NdJKc3EBZhrcTXFrB-Px","douban_book_top250",0,"_doc","天龙八部","金庸","1994-5","生活.读书.新知三联书店","96.0","-","https://book.douban.com/subject/1255625/"
NtJKc3EBZhrcTXFrCOMF,"douban_book_top250",0,"_doc","撒哈拉的故事","三毛","2003-8","哈尔滨出版社","15.80元","-","https://book.douban.com/subject/1060068/"
